species	160	98	H1_4WK	H2_4WK	H3_4WK	H4_4WK	H5_4WK	H6_4WK	L1_4WK	L2_4WK	L3_4WK	L4_4WK	L5_4WK	L6_4WK
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_cellulosilyticus	1171	40	8004	7198	7499	5985	5349	5712	523720	524895	503356	449854	564610	486216
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprocola	14417	40	37243	20622	40220	28139	15898	14693	957	825	1878	1709	2069	899
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprophilus	1233	32	3744	2430	3729	3134	2868	2734	2364	2075	3248	2580	1946	2284
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_coprosuis	19	0	0	0	0	0	0	0	54	52	126	98	46	60
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_faecichinchillae	652	1	451	463	420	409	476	475	2532	1887	2190	2081	2493	2207
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fluxus	3039	20	4507	4609	5108	3701	5150	4508	1386	1117	2015	1581	1194	1370
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_fragilis	1830	50	931	884	617	900	973	955	149792	138154	46353	37730	21537	128924
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_graminisolvens	0	0	1	0	0	0	0	1	0	2	13	11	9	0
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_neonati	2	0	5	5	3	1	5	3	14	23	12	7	28	25
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_oleiciplenus	1916	536	50429	41222	53676	37950	35670	33846	3040	2450	3573	3277	3516	2881
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_ovatus	20573	59	5914	5558	4572	5118	5713	5690	6285	7064	8072	9784	77315	8456
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_paurosaccharolyticus	14	3	201	180	247	121	122	115	5	2	60	43	35	5
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_plebeius	1147	129	3422	3132	3535	2406	2334	2342	20506	17668	20450	18039	20412	17745
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_pyogenes	30	5	2108	2048	1712	1932	1962	2002	157	170	181	148	179	159
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_reticulotermitis	11	0	30	60	63	17	24	19	17	13	39	19	46	9
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_salanitronis	619	34	4838	4771	4511	3348	3520	3380	974	751	1118	785	537	810
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_salyersiae	2650	5941	48275	39038	41836	40654	34357	35391	44704	41606	32559	36398	37734	48710
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_stercoris	1539	32	9670	9391	8550	7941	6310	5905	1914	1773	2515	2244	2025	1931
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_thetaiotaomicron	28257	2483	979812	921152	908137	926409	1147023	1091259	58332	59757	113172	107213	51008	54882
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_uniformis	59276	1283	4810	5153	4602	3812	3843	3667	107266	86904	180371	135916	70264	97133
k__Bacteria;p__Bacteroidete;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_vulgatus	63035	4141	602746	566741	471671	453087	416511	435393	148648	129708	144138	128613	72794	113022
